ID-10	SKTI_R2
ID-12	SKTI_R3
ID-14	GORE3_R1
ID-15	GORE3_R2
ID-16	GORE3_R3
ID-18	FatBody
ID-1	Control_R1
ID-2	Control_R2
ID-3	Control_R3
ID-5	Benzamidine_R1
ID-7	Benzamidine_R2
ID-8	Benzamidine_R3
ID-9	SKTI_R1
