"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"SKTI","GO:0002181","cytoplasmic translation","77/3526","98/9658",0.785714285714286,2.15213515922535,8.69258044065611,1.48879174355433e-17,4.86622215607473e-15,3.83056041085934e-15,"gene-eIF4B/gene-RpS23/gene-RpS11/gene-RpL13/gene-RpS15A/gene-RpS17/gene-RpL30/gene-RpL14/gene-LOC142973531/gene-RpL38/gene-RpL9/gene-eIF3a/gene-RpS27A/gene-RpS15/gene-RpL26/gene-RpS10b/gene-eIF1/gene-RpL37-1/gene-RpS18/gene-RpL36A/gene-RpL24/gene-RpL5/gene-RpL35/gene-RpL29/gene-RpLP2/gene-RpL34/gene-RpL37A/gene-RpS27/gene-RpS2/gene-RpS30/gene-eIF3m/gene-RpL31/gene-RpL19/gene-RpS24/gene-RpL10/gene-RpL27/gene-RpS7/gene-RpS21/gene-RpL22/gene-RpS4/gene-RpS28b/gene-RpL8/gene-RpL23/gene-RpL13A/gene-RpLP1/gene-RpS3/gene-RpS9/gene-RpL27A/gene-RpS8/gene-RpL12/gene-RpL32/gene-RpL28/gene-RpS29/gene-RpS14/gene-RpL40/gene-RpS3A/gene-DENR/gene-RpL17/gene-LOC142986278/gene-MCTS1/gene-RpS20/gene-RpS25/gene-LOC142973202/gene-RpL15/gene-RpS13/gene-LOC142973667/gene-RpLP0/gene-eIF2beta/gene-RpS16/gene-RpL11/gene-RpL7A/gene-RpL7/gene-RpL24-like/gene-RpL4/gene-RpS6/gene-RpL21/gene-RpL18",77
"SKTI","GO:0032543","mitochondrial translation","81/3526","105/9658",0.771428571428571,2.11300542905761,8.6952733641851,1.58264837157169e-17,4.93786291930366e-15,3.88695411065907e-15,"gene-mRpL49/gene-mRpS18C/gene-mRpL40/gene-mRpS6/gene-mRpL15/gene-mRpL51/gene-mRpS35/gene-mRpS23/gene-mRpL13/gene-mRpS9/gene-mRpL47/gene-mRpL16/gene-mRpS7/gene-LOC142981581/gene-mRpL27/gene-mRpL32/gene-mRpS34/gene-mRpL46/gene-mRpS12/gene-LOC142979807/gene-mRpL34/gene-mRpS2/gene-LOC142972638/gene-LOC142987909/gene-mRpL12/gene-mRpS18B/gene-mRpL14/gene-mRpS18A/gene-mRpL30/gene-mRpL23/gene-mRRF1/gene-mRpS33/gene-mRpS21/gene-mEFTs/gene-mRpL53/gene-mRpL52/gene-mRpS14/gene-mRpL9/gene-LOC142972637/gene-mRpS17/gene-mRpL43/gene-mRpL37/gene-mRpS11/gene-mRpL10/gene-mRpS10/gene-OXA1L/gene-mRpL35/gene-mRpL19/gene-mRpL33/gene-mRpL39/gene-mRpL2/gene-mRpL3/gene-mRpL44/gene-mRpL54/gene-mRpL48/gene-mRpS24/gene-bonsai/gene-mRpS31/gene-mRpL17/gene-CRIF/gene-mRpL1/gene-mRpL45/gene-mRpL4/gene-LOC142974534/gene-mRpL24/gene-LOC142974472/gene-mRpL50/gene-LOC142973375/gene-mRpS16/gene-mRpL38/gene-AspRS-m/gene-mRpS25/gene-mRpL22/gene-mRpS30/gene-mRpS5/gene-DNApol-gamma35/gene-GatA/gene-SerRS-m/gene-LOC142974411/gene-mRF1/gene-mRpL11",81
"SKTI","GO:0005762","mitochondrial large ribosomal subunit","48/3526","52/9658",0.923076923076923,2.52838256468432,8.37960702170464,3.78820003008447e-17,1.13053065245651e-14,8.89923604321446e-15,"gene-mRpL49/gene-mRpL40/gene-mRpL18/gene-mRpL15/gene-mRpL51/gene-mRpL13/gene-mRpL47/gene-mRpL16/gene-mRpL27/gene-mRpL32/gene-mRpL46/gene-mRpL34/gene-LOC142972638/gene-LOC142987909/gene-mRpL12/gene-mRpL14/gene-mRpL55/gene-mRpL30/gene-mRpL23/gene-mRpL53/gene-mRpL41/gene-mRpL52/gene-mRpL9/gene-LOC142972637/gene-mRpL43/gene-mRpL37/gene-mRpL10/gene-mRpL35/gene-mRpL19/gene-mRpL33/gene-mRpL39/gene-mRpL2/gene-mRpL3/gene-mRpL44/gene-mRpL54/gene-mRpL48/gene-mRpL17/gene-mRpL1/gene-mRpL45/gene-mRpL4/gene-LOC142974534/gene-mRpL24/gene-mRpL50/gene-LOC142973376/gene-mRpL38/gene-mRpL22/gene-mRpS30/gene-mRpL11",48
"SKTI","GO:0032984","protein-containing complex disassembly","115/3526","169/9658",0.680473372781065,1.86387176242755,8.59099772317142,4.75507653302266e-17,1.35995188844448e-14,1.07051788789497e-14,"gene-LOC142982010/gene-mRpL49/gene-osa/gene-arm/gene-mRpS18C/gene-mRpL40/gene-TER94/gene-mRpS6/gene-LOC142980898/gene-Bap60/gene-mRpL15/gene-mRpL51/gene-mRpS35/gene-mRpS23/gene-Spn/gene-LOC142984108/gene-mRpL13/gene-mRpS9/gene-LOC142986840/gene-Syx17/gene-Efa6/gene-mRpL47/gene-Ist1/gene-mRpL16/gene-mRpS7/gene-LOC142981581/gene-mRpL27/gene-mRpL32/gene-mRpS34/gene-mRpL46/gene-arr/gene-Pym/gene-mRpS2/gene-Khc/gene-LOC142987909/gene-mRpL12/gene-mRpS18B/gene-mRpL14/gene-RpL23/gene-EndoA/gene-mRpS18A/gene-mRpL23/gene-Irbp18/gene-mRRF1/gene-fz2/gene-Synj/gene-stai/gene-mRpS33/gene-mRpS21/gene-fab1/gene-mRpS14/gene-mRpL9/gene-LOC142972637/gene-mRpS17/gene-mRpL43/gene-mRpL37/gene-mRpS11/gene-mRpS10/gene-OXA1L/gene-mRpL35/gene-mRpL19/gene-mRpL39/gene-mRpL2/gene-mRpL3/gene-Klp10A/gene-DENR/gene-psidin/gene-Usp5/gene-MCTS1/gene-mRpL44/gene-mRpL54/gene-mRpL48/gene-mRpS24/gene-bonsai/gene-pix/gene-atl/gene-Ubqn/gene-mRpS31/gene-mRpL17/gene-CRIF/gene-Klc/gene-Bap111/gene-mRpL1/gene-mRpL45/gene-mRpL4/gene-Axn/gene-LOC142974534/gene-Atg8/gene-mRpL24/gene-LOC142974472/gene-Pex23/gene-LOC142976396/gene-LOC142985075/gene-LOC142973375/gene-mRpL38/gene-pelo/gene-mRpS25/gene-eRF1/gene-Bap170/gene-Lpin/gene-mRpL22/gene-dsh/gene-dre4/gene-mRpS30/gene-mRpS5/gene-stj/gene-Vps28/gene-spas/gene-sip1/gene-Vps24/gene-Mical/gene-LOC142987403/gene-LOC142974411/gene-TSG101/gene-mRF1",115
"SKTI","GO:0016071","mRNA metabolic process","269/3526","498/9658",0.540160642570281,1.47954381337033,8.33213741204562,2.39843010802732e-16,6.58512970459981e-14,5.18363862926494e-14,"gene-RpII215/gene-hfp/gene-Zn72D/gene-Hipk/gene-yps/gene-SF1/gene-LOC142985114/gene-Spt5/gene-eEF1delta/gene-RpS11/gene-Upf1/gene-RpL13/gene-SNRPG/gene-mbl/gene-LOC142978501/gene-RpL14/gene-RpL38/gene-rin/gene-Cnot4/gene-Prp8/gene-mago/gene-nonC/gene-LOC142980900/gene-RpS10b/gene-Not1/gene-RpL37-1/gene-Regnase-1/gene-Sf3b1/gene-LSm1/gene-RpL36A/gene-Sf3a1/gene-SmD2/gene-roq/gene-RpL24/gene-LOC142983263/gene-Psi/gene-Cbp20/gene-RpL29/gene-MED1/gene-LOC142987276/gene-RpS12/gene-LOC142984803/gene-LOC142976245/gene-RpL34/gene-spen/gene-RpL37A/gene-LOC142977474/gene-LOC142984261/gene-gw/gene-RpS2/gene-RpS30/gene-LOC142983616/gene-Ssu72/gene-l(3)72Ab/gene-RpL31/gene-LOC142978607/gene-ncm/gene-AGO1/gene-RpL19/gene-LOC142987684/gene-LOC142985268/gene-Ythdf/gene-pcm/gene-LOC142978680/gene-ubl/gene-RpL10/gene-RpL27/gene-RpS7/gene-Cdk12/gene-Prp31/gene-Pym/gene-RpS21/gene-Rpb7/gene-LOC142985465/gene-RpL22/gene-Spt6/gene-LOC142984090/gene-Rpb12/gene-btz/gene-Rbfox1/gene-RpS28b/gene-Prp39/gene-Tfb5/gene-Bug22/gene-LOC142976459/gene-Edc3/gene-RpII33/gene-RpL23/gene-Sf3b6/gene-RpL13A/gene-Unr/gene-PQBP1/gene-nito/gene-Smu1/gene-RpLP1/gene-LOC142985976/gene-RpS3/gene-Hel25E/gene-tho2/gene-obe/gene-tgo/gene-Irbp18/gene-hrg/gene-Smg6/gene-SmD1/gene-Cpsf6/gene-RpS8/gene-sm/gene-RpII140/gene-RpL12/gene-SF2/gene-fus/gene-LOC142983189/gene-RpL32/gene-LOC142974104/gene-RpL28/gene-Rpb11/gene-Spx/gene-LOC142978810/gene-Rpb8/gene-Bin1/gene-RpS29/gene-mub/gene-RpS14/gene-SmE/gene-Rnp4F/gene-LOC142979341/gene-thoc6/gene-l(1)10Bb/gene-LOC142975609/gene-LOC142987329/gene-RpS3A/gene-LSm3/gene-Rrp46/gene-HnRNP-K/gene-Psf/gene-RpL17/gene-LOC142973942/gene-Hakai/gene-LOC142986278/gene-RpS20/gene-LOC142982223/gene-LOC142981169/gene-RpS25/gene-Rrp4/gene-IntS9/gene-LOC142976866/gene-Aptx/gene-tst/gene-RpL15/gene-LOC142972424/gene-LOC142976508/gene-Nop60B/gene-LOC142974426/gene-LOC142978852/gene-eIF4AIII/gene-RpS13/gene-LOC142978777/gene-Spf45/gene-SREBP/gene-LOC142973667/gene-LOC142978438/gene-RpLP0/gene-SmF/gene-RpII15/gene-heph/gene-snRNP-U1-70K/gene-Prp4k/gene-LOC142984719/gene-LOC142975423/gene-Cypl/gene-pix/gene-LOC142976358/gene-Sf3a2/gene-CycH/gene-U2af50/gene-Srrm1/gene-pea/gene-crc/gene-RpL11/gene-RpII18/gene-LSm7/gene-SmB/gene-Not3/gene-CPSF1/gene-Sf3b5/gene-LOC142973426/gene-hay/gene-Adar/gene-RpL7A/gene-wmd/gene-Dcr-1/gene-LOC142974542/gene-cyp33/gene-smg/gene-LOC142973609/gene-LOC142981050/gene-Sf3b3/gene-mrn/gene-B52/gene-RpL7/gene-Setx/gene-LOC142979577/gene-LOC142978882/gene-Slbp/gene-thoc7/gene-Rack1/gene-Dim1/gene-LOC142984444/gene-mle/gene-Sym/gene-Moca-cyp/gene-Son/gene-Rrp40/gene-PAN3/gene-Phf5a/gene-LOC142978226/gene-sbr/gene-pelo/gene-Tfb1/gene-LOC142974964/gene-Prp6/gene-eRF1/gene-LOC142980839/gene-Ars2/gene-LOC142978391/gene-Prp19/gene-Hsc70-4/gene-LOC142979085/gene-LOC142982619/gene-RpL4/gene-LOC142976794/gene-LOC142983092/gene-LOC142972549/gene-Cdc5/gene-Clp/gene-vir/gene-l(1)G0007/gene-LOC142976667/gene-RpS6/gene-Tbp/gene-CPSF2/gene-Cdc27/gene-spt4/gene-Pep/gene-LOC142980210/gene-LOC142973345/gene-twin/gene-Mfap1/gene-LOC142972841/gene-LOC142978892/gene-Srrm234/gene-LOC142984234/gene-DCP1/gene-sip1/gene-RpL21/gene-Appl/gene-exu/gene-tsu/gene-U2af38/gene-lost/gene-Hpr1/gene-LOC142984576/gene-LOC142979370/gene-Rrp6/gene-Tfb4/gene-LOC142979604/gene-Rpb5/gene-Prp3",269
"SKTI","GO:0043624","GO:0043624","79/3526","105/9658",0.752380952380952,2.06083245550063,8.28767583100466,5.06403199160965e-16,1.33690444578495e-13,1.05237555517945e-13,"gene-mRpL49/gene-mRpS18C/gene-mRpL40/gene-mRpS6/gene-LOC142980898/gene-mRpL15/gene-mRpL51/gene-mRpS35/gene-mRpS23/gene-Spn/gene-mRpL13/gene-mRpS9/gene-Efa6/gene-mRpL47/gene-mRpL16/gene-mRpS7/gene-LOC142981581/gene-mRpL27/gene-mRpL32/gene-mRpS34/gene-mRpL46/gene-mRpS2/gene-LOC142987909/gene-mRpL12/gene-mRpS18B/gene-mRpL14/gene-EndoA/gene-mRpS18A/gene-mRpL23/gene-mRRF1/gene-Synj/gene-stai/gene-mRpS33/gene-mRpS21/gene-mRpS14/gene-mRpL9/gene-LOC142972637/gene-mRpS17/gene-mRpL43/gene-mRpL37/gene-mRpS11/gene-mRpS10/gene-OXA1L/gene-mRpL35/gene-mRpL19/gene-mRpL39/gene-mRpL2/gene-mRpL3/gene-Klp10A/gene-psidin/gene-Usp5/gene-mRpL44/gene-mRpL54/gene-mRpL48/gene-mRpS24/gene-bonsai/gene-pix/gene-atl/gene-mRpS31/gene-mRpL17/gene-CRIF/gene-mRpL1/gene-mRpL45/gene-mRpL4/gene-LOC142974534/gene-mRpL24/gene-LOC142973375/gene-mRpL38/gene-mRpS25/gene-eRF1/gene-Lpin/gene-mRpL22/gene-mRpS30/gene-mRpS5/gene-spas/gene-Mical/gene-LOC142987403/gene-LOC142974411/gene-mRF1",79
"SKTI","GO:0005743","mitochondrial inner membrane","198/3526","344/9658",0.575581395348837,1.57656412826973,8.25695503851848,5.44353462895926e-16,1.38386747011764e-13,1.08934359650869e-13,"gene-mRpL49/gene-ND-B17.2/gene-NP15.6/gene-Acadvl/gene-LOC142973585/gene-ND-ACP/gene-LOC142972148/gene-LOC142977612/gene-ND-ASHI/gene-ND-13A/gene-blp/gene-LOC142980570/gene-LOC142980365/gene-mRpS18C/gene-LOC142987402/gene-LOC142987685/gene-mRpL40/gene-ND-B18/gene-ox/gene-sun/gene-ND-B12/gene-LOC142977913/gene-Tim8/gene-LOC142982317/gene-ND-B15/gene-ATPsynF/gene-mRpS6/gene-LOC142980234/gene-mRpL15/gene-ND-B16.6/gene-mRpL51/gene-mRpS35/gene-mRpS23/gene-LOC142987536/gene-LOC142975930/gene-LOC142977517/gene-mRpL13/gene-mRpS9/gene-LOC142977953/gene-Stoml2/gene-ATPsynE/gene-ATPsynG/gene-mRpL47/gene-mRpL16/gene-Pmi/gene-mRpS7/gene-CLS/gene-LOC142981581/gene-mRpL27/gene-LOC142984567/gene-ND-13B/gene-ND-B17/gene-Sod2/gene-UQCR-Q/gene-l(3)87Df/gene-LOC142981526/gene-mRpL32/gene-mRpS34/gene-mRpL46/gene-ATPsynCF6/gene-EMRE/gene-LOC142980491/gene-LOC142981408/gene-ND-B14.7/gene-LOC142976110/gene-mRpS2/gene-LOC142973734/gene-LOC142975328/gene-LOC142987909/gene-Dhod/gene-mRpL12/gene-mRpS18B/gene-COX5A/gene-cype/gene-mRpL14/gene-mRpS18A/gene-rho-7/gene-mRpL23/gene-ND-39/gene-RpS3/gene-LOC142984620/gene-LOC142978250/gene-ND-B14.5B/gene-LOC142983192/gene-Uqcc1/gene-Scox/gene-LOC142982836/gene-mRpS33/gene-LOC142982820/gene-mRpS21/gene-Cyt-c1/gene-Uqcr11/gene-mRpS14/gene-LOC142981532/gene-mRpL9/gene-LOC142972637/gene-ATPsynO/gene-mRpS17/gene-mRpL43/gene-YME1L/gene-ND-B8/gene-Coprox/gene-Tim9a/gene-Phb2/gene-LOC142973869/gene-LOC142974394/gene-PCB/gene-Ndufs8/gene-LOC142982290/gene-mRpL37/gene-LOC142984621/gene-mRpS11/gene-ATPsynB/gene-mRpS10/gene-Dhfr/gene-Cox11/gene-OXA1L/gene-Bcs1/gene-mRpL35/gene-ND-18/gene-Ccdc56/gene-mRpL19/gene-LOC142974003/gene-mRpL39/gene-mRpL2/gene-LOC142981452/gene-mRpL3/gene-ND-SGDH/gene-l(3)neo43/gene-Uccr/gene-Ant/gene-ND-MNLL/gene-ND-24/gene-mRpL44/gene-Surf1/gene-mRpL54/gene-ND-42/gene-LOC142987070/gene-mRpL48/gene-ATPsyndelta/gene-mRpS24/gene-bonsai/gene-Coq9/gene-140up/gene-LOC142983740/gene-ND-PDSW/gene-LOC142979424/gene-mRpS31/gene-LOC142980260/gene-Taz/gene-mRpL17/gene-Tim10/gene-LOC142972461/gene-Phb1/gene-LOC142981541/gene-LOC142983905/gene-mRpL1/gene-ND-30/gene-ECSIT/gene-ATPsynD/gene-Gpo1/gene-mRpL45/gene-ND-B22/gene-mRpL4/gene-colt/gene-Ttc19/gene-Coq7/gene-LOC142981634/gene-mRpL24/gene-LOC142985014/gene-LOC142973376/gene-LOC142987347/gene-Rim2/gene-LOC142980296/gene-LOC142973375/gene-Ppox/gene-mRpL38/gene-LOC142977227/gene-LOC142982586/gene-mRpS25/gene-Tim23/gene-LOC142976516/gene-l(2)37Bb/gene-mRpL22/gene-SdhA/gene-mRpS30/gene-mRpS5/gene-LOC142977238/gene-LOC142979413/gene-LOC142980036/gene-Fdx2/gene-spoon/gene-LOC142987818/gene-LOC142977187/gene-Cchl/gene-Pisd/gene-LOC142974411/gene-LOC142987549",198
"SKTI","GO:0000315","organellar large ribosomal subunit","45/3526","49/9658",0.918367346938776,2.51548265364002,8.06438233571704,6.25902233641901e-16,1.53435461847072e-13,1.20780306965559e-13,"gene-mRpL49/gene-mRpL40/gene-mRpL18/gene-mRpL15/gene-mRpL51/gene-mRpL13/gene-mRpL47/gene-mRpL16/gene-mRpL27/gene-mRpL32/gene-mRpL46/gene-mRpL34/gene-LOC142972638/gene-LOC142987909/gene-mRpL12/gene-mRpL14/gene-mRpL30/gene-mRpL23/gene-mRpL53/gene-mRpL52/gene-mRpL9/gene-LOC142972637/gene-mRpL43/gene-mRpL37/gene-mRpL10/gene-mRpL35/gene-mRpL19/gene-mRpL33/gene-mRpL39/gene-mRpL2/gene-mRpL3/gene-mRpL44/gene-mRpL54/gene-mRpL48/gene-mRpL17/gene-mRpL1/gene-mRpL45/gene-mRpL4/gene-LOC142974534/gene-mRpL24/gene-mRpL50/gene-LOC142973376/gene-mRpL38/gene-mRpL22/gene-mRpL11",45
"SKTI","GO:0019866","organelle inner membrane","198/3526","346/9658",0.572254335260116,1.56745104082308,8.15091115353982,1.24535892243004e-15,2.94763573915855e-13,2.32030030810649e-13,"gene-mRpL49/gene-ND-B17.2/gene-NP15.6/gene-Acadvl/gene-LOC142973585/gene-ND-ACP/gene-LOC142977612/gene-ND-ASHI/gene-ND-13A/gene-blp/gene-LOC142980570/gene-LOC142980365/gene-mRpS18C/gene-LOC142987402/gene-LOC142987685/gene-mRpL40/gene-ND-B18/gene-ox/gene-sun/gene-ND-B12/gene-LOC142977913/gene-Tim8/gene-LOC142982317/gene-ND-B15/gene-ATPsynF/gene-mRpS6/gene-LOC142980234/gene-mRpL15/gene-ND-B16.6/gene-mRpL51/gene-mRpS35/gene-mRpS23/gene-LOC142987536/gene-LOC142975930/gene-LOC142977517/gene-mRpL13/gene-mRpS9/gene-LOC142977953/gene-Stoml2/gene-ATPsynE/gene-ATPsynG/gene-mRpL47/gene-mRpL16/gene-Pmi/gene-mRpS7/gene-CLS/gene-LOC142981581/gene-mRpL27/gene-LOC142984567/gene-ND-13B/gene-ND-B17/gene-Sod2/gene-UQCR-Q/gene-LOC142981526/gene-mRpL32/gene-mRpS34/gene-mRpL46/gene-ATPsynCF6/gene-EMRE/gene-LOC142980491/gene-LOC142981408/gene-ND-B14.7/gene-LOC142976110/gene-mRpS2/gene-LOC142973734/gene-LOC142975328/gene-LOC142987909/gene-Dhod/gene-mRpL12/gene-mRpS18B/gene-COX5A/gene-cype/gene-mRpL14/gene-mRpS18A/gene-rho-7/gene-mRpL23/gene-ND-39/gene-RpS3/gene-LOC142984620/gene-LOC142978250/gene-ND-B14.5B/gene-LOC142983192/gene-Uqcc1/gene-Scox/gene-LOC142982836/gene-mRpS33/gene-LOC142982820/gene-mRpS21/gene-Cyt-c1/gene-Uqcr11/gene-mRpS14/gene-LOC142981532/gene-mRpL9/gene-LOC142972637/gene-ATPsynO/gene-mRpS17/gene-mRpL43/gene-YME1L/gene-ND-B8/gene-Coprox/gene-Tim9a/gene-Phb2/gene-LOC142973869/gene-LOC142974394/gene-PCB/gene-Ndufs8/gene-LOC142982290/gene-mRpL37/gene-LOC142984621/gene-mRpS11/gene-ATPsynB/gene-mRpS10/gene-Dhfr/gene-Cox11/gene-OXA1L/gene-Bcs1/gene-mRpL35/gene-ND-18/gene-Ccdc56/gene-mRpL19/gene-LOC142974003/gene-mRpL39/gene-mRpL2/gene-LOC142981452/gene-mRpL3/gene-ND-SGDH/gene-l(3)neo43/gene-Uccr/gene-Ant/gene-ND-MNLL/gene-ND-24/gene-mRpL44/gene-Surf1/gene-mRpL54/gene-ND-42/gene-LOC142987070/gene-mRpL48/gene-ATPsyndelta/gene-mRpS24/gene-bonsai/gene-Coq9/gene-140up/gene-LOC142983740/gene-ND-PDSW/gene-Smox/gene-LOC142979424/gene-mRpS31/gene-LOC142980260/gene-Taz/gene-mRpL17/gene-Tim10/gene-LOC142974689/gene-LOC142972461/gene-Phb1/gene-LOC142981541/gene-LOC142983905/gene-mRpL1/gene-ND-30/gene-ECSIT/gene-ATPsynD/gene-Gpo1/gene-mRpL45/gene-ND-B22/gene-mRpL4/gene-colt/gene-Ttc19/gene-LOC142981634/gene-mRpL24/gene-LOC142985014/gene-LOC142977939/gene-LOC142973376/gene-gzl/gene-LOC142987347/gene-Rim2/gene-LOC142980296/gene-LOC142973375/gene-Ppox/gene-mRpL38/gene-LOC142977227/gene-LOC142982586/gene-mRpS25/gene-Tim23/gene-LOC142976516/gene-l(2)37Bb/gene-mRpL22/gene-SdhA/gene-mRpS30/gene-mRpS5/gene-LOC142977238/gene-LOC142979413/gene-LOC142980036/gene-Fdx2/gene-spoon/gene-LOC142987818/gene-LOC142977187/gene-Cchl/gene-Pisd/gene-LOC142974411",198
"SKTI","GO:0006413","translational initiation","78/3526","106/9658",0.735849056603774,2.01555025203609,7.9720202025729,6.47810248574491e-15,1.48218984873844e-12,1.1667403529589e-12,"gene-bel/gene-eIF4B/gene-RpS11/gene-RpL13/gene-RpL14/gene-RpL38/gene-NAT1/gene-eIF3a/gene-eIF3g1/gene-eIF3k/gene-RpS10b/gene-eIF1/gene-RpL37-1/gene-RpL36A/gene-RpL24/gene-RpL29/gene-RpS12/gene-RpL34/gene-RpL37A/gene-eIF3i/gene-RpS2/gene-RpS30/gene-mxt/gene-eIF3m/gene-RpL31/gene-AGO1/gene-RpL19/gene-RpS24/gene-RpL10/gene-RpL27/gene-RpS7/gene-RpS21/gene-RpL22/gene-RpS28b/gene-eIF2Bbeta/gene-RpL23/gene-RpL13A/gene-RpLP1/gene-RpS3/gene-eIF3l/gene-eIF1A/gene-RpS8/gene-RpL12/gene-RpL32/gene-RpL28/gene-RpS29/gene-RpS14/gene-LOC142983927/gene-eIF2Bgamma/gene-RpS3A/gene-DENR/gene-RpL17/gene-LOC142986278/gene-MCTS1/gene-RpS20/gene-RpS25/gene-LOC142973202/gene-RpL15/gene-RpS13/gene-LOC142973667/gene-RpLP0/gene-eIF2beta/gene-pix/gene-eIF3f1/gene-eIF4A/gene-RpL11/gene-eIF5B/gene-RpL7A/gene-eIF2Bdelta/gene-RpL7/gene-LOC142974472/gene-eIF2Balpha/gene-LOC142973677/gene-RpL4/gene-RpS6/gene-RpL21/gene-ath/gene-Paip1",78
"SKTI","GO:0045047","protein targeting to ER","56/3526","69/9658",0.811594202898551,2.2230223515582,7.73096089976494,3.05764466479007e-14,6.7702170900384e-12,5.32933448705176e-12,"gene-Srp14/gene-RpS11/gene-RpL13/gene-RpL14/gene-RpL38/gene-RpS10b/gene-RpL37-1/gene-RpL36A/gene-RpL24/gene-RpL29/gene-RpS12/gene-RpL34/gene-RpL37A/gene-RpS2/gene-RpS30/gene-RpL31/gene-RpL19/gene-RpL10/gene-RpL27/gene-RpS7/gene-RpS21/gene-Spase12/gene-RpL22/gene-RpS28b/gene-RpL23/gene-RpL13A/gene-RpLP1/gene-RpS3/gene-Spase22-23/gene-RpS8/gene-RpL12/gene-RpL32/gene-RpL28/gene-RpS29/gene-RpS14/gene-RpS3A/gene-Srp9/gene-Spase25/gene-RpL17/gene-RpS20/gene-RpS25/gene-RpL15/gene-RpS13/gene-LOC142973667/gene-RpLP0/gene-Pmm2/gene-RpL11/gene-RpL7A/gene-RpL7/gene-shot/gene-Sec61beta/gene-LOC142974110/gene-SrpRalpha/gene-RpL4/gene-RpS6/gene-RpL21",56
"SKTI","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","52/3526","63/9658",0.825396825396825,2.26082885413572,7.61316287086954,6.87775608669452e-14,1.47527868059597e-11,1.16130006555931e-11,"gene-Srp14/gene-RpS11/gene-RpL13/gene-Srp19/gene-RpL14/gene-RpL38/gene-RpS10b/gene-RpL37-1/gene-RpL36A/gene-RpL24/gene-RpL29/gene-RpS12/gene-RpL34/gene-RpL37A/gene-RpS2/gene-RpS30/gene-RpL31/gene-RpL19/gene-RpL10/gene-RpL27/gene-RpS7/gene-RpS21/gene-RpL22/gene-RpS28b/gene-RpL23/gene-RpL13A/gene-RpLP1/gene-RpS3/gene-RpS8/gene-RpL12/gene-RpL32/gene-RpL28/gene-RpS29/gene-RpS14/gene-RpS3A/gene-Srp9/gene-RpL17/gene-RpS20/gene-RpS25/gene-RpL15/gene-RpS13/gene-LOC142973667/gene-RpLP0/gene-LOC142977499/gene-RpL11/gene-RpL7A/gene-RpL7/gene-Sec61beta/gene-SrpRalpha/gene-RpL4/gene-RpS6/gene-RpL21",52
"SKTI","GO:0070972","protein localization to endoplasmic reticulum","62/3526","82/9658",0.75609756097561,2.071012547902,7.38534202909275,5.04231004846036e-13,1.04880049007975e-10,8.25587798365136e-11,"gene-Srp14/gene-RpS11/gene-RpL13/gene-RpL14/gene-RpL38/gene-RpS10b/gene-RpL37-1/gene-RpL36A/gene-RpL24/gene-RpL29/gene-RpS12/gene-RpL34/gene-RpL37A/gene-RpS2/gene-RpS30/gene-RpL31/gene-RpL19/gene-RpL10/gene-RpL27/gene-RpS7/gene-RpS21/gene-Spase12/gene-RpL22/gene-RpS28b/gene-RpL23/gene-RpL13A/gene-RpLP1/gene-RpS3/gene-PPP1R15/gene-Spase22-23/gene-garz/gene-RpS8/gene-RpL12/gene-RpL32/gene-RpL28/gene-RpS29/gene-RpS14/gene-RpS3A/gene-Srp9/gene-Spase25/gene-Vap33/gene-RpL17/gene-RpS20/gene-RpS25/gene-RpL15/gene-RpS13/gene-LOC142973667/gene-RpLP0/gene-Pmm2/gene-KdelR/gene-RpL11/gene-RpL7A/gene-RpL7/gene-LOC142977570/gene-shot/gene-Sec61beta/gene-LOC142974110/gene-RpL4/gene-RpS6/gene-LOC142978941/gene-RpL21/gene-LOC142985452",62
