gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation
gene-LOC142975131,278.5296226784852,6.996338268131421,1.1675338267662012,6.600198807998789,4.1060677730896816e-11,4.008753966867457e-07,up
gene-LOC142973394,1546.9673845062237,-2.4675033026890647,0.4187445097861654,-6.428724950833548,1.2867872000737188e-10,6.28145171715986e-07,down
gene-LOC142983500,1315.5926848349866,-1.857919950522851,0.3201318223282244,-6.310497066290049,2.7814068618160567e-10,9.051625063970056e-07,down
gene-LOC142980845,417.1908033196032,-4.155324276979063,0.7383308092960762,-6.194365435209992,5.852031163702093e-10,1.4283345062805883e-06,down
gene-LOC142976493,1228.10521378227,6.622906038914976,1.4528901053141263,5.380782801245374,7.416263173436073e-08,0.0001448099547245,up
gene-LOC142976171,1202.787146526915,-2.286211289060688,0.5118136703816527,-5.149646636787525,2.6097767100978134e-07,0.0004109402798302,down
gene-LOC142974572,544.7768739079004,5.522649316564992,1.2879289700256369,5.126842888878367,2.946411921347615e-07,0.0004109402798302,up
gene-Tgs1,1254.8969801105784,-1.7071803034340085,0.3819313002410627,-5.099455347372164,3.406322121537794e-07,0.0004156990359071,down
gene-LOC142980293,420.5117087038813,7.02172594813106,1.7391213005502453,5.005997516084326,5.557347350182207e-07,0.0006028486908869,up
gene-LOC142972829,265.5559807696049,4.692519883254954,1.1834928073216109,4.8502210465262,1.2332396100837152e-06,0.0012040118313247,up
gene-LOC142976728,1753.4305587008832,-1.9075210902913908,0.4657159956611225,-4.804604646295082,1.550575868925338e-06,0.0013762065643925,down
gene-Sulf1,144.7272704504769,2.046543992506452,0.5198222290658441,4.688102779734232,2.7574952709298138e-06,0.0019369763782892,up
gene-LOC142977673,348.6013074050348,-2.260661755951528,0.5721625721600535,-4.709865985351791,2.478797260617111e-06,0.0019369763782892,down
gene-LOC142981377,33.63371462673968,3.926270156172871,1.0292230196159455,4.68661586791938,2.7775959537077667e-06,0.0019369763782892,up
gene-LOC142984165,146.97834702599968,6.407788451347028,1.789447912794257,4.610420796771976,4.018547235274496e-06,0.0026155384438656,up
gene-LOC142981527,1788.8062821655392,-1.449156919307311,0.3723875073183679,-4.565164323381315,4.991032326515331e-06,0.0030304348467481,down
gene-LOC142984745,179.39989719677342,4.47440173620205,1.2422369514447835,4.553470820027869,5.276799384893883e-06,0.0030304348467481,up
gene-ae48,773.5173469377643,1.602126287888619,0.4265545997655837,4.483226781466626,7.352272051125087e-06,0.0032900193321171,up
gene-LOC142980547,1365.0758402065385,-3.579572765984005,1.0045070627746004,-4.467147390920891,7.92695172956895e-06,0.0032900193321171,down
gene-LOC142983202,604.996190924303,5.0334324824958685,1.4322723397778554,4.512275465102639,6.413581590431468e-06,0.0032900193321171,up
gene-LOC142975908,851.3228562736404,6.052571331884698,1.815559044189794,4.462848454672022,8.087725491223084e-06,0.0032900193321171,up
gene-LOC142980297,5287.040542898495,6.577150395890958,1.9640790960957049,4.515621842098214,6.313123534249908e-06,0.0032900193321171,up
gene-LOC142980304,1251.7549523067407,6.827016490075192,2.068516620195065,4.471966436998905,7.750359362838337e-06,0.0032900193321171,up
gene-LOC142987493,806.2105014390614,6.98344464898854,2.0998871831206043,4.488454195735505,7.174184500730354e-06,0.0032900193321171,up
gene-LOC142979329,167.1146772043329,3.1605588680469467,0.9000581166475242,4.424295749578772,9.67573954869378e-06,0.0037785698085558,up
gene-LOC142975272,276.71650089127166,3.969306790142652,1.1966212197415456,4.322399112185787,1.543416652255581e-05,0.0055808802873967,up
gene-Csk,562.2443165545864,-1.3286159824767032,0.3748916041861624,-4.250075015499227,2.136989341631438e-05,0.0071942851525336,down
gene-LOC142976163,682.9750114199261,-1.4107898049695928,0.4003679467419294,-4.2517223093146805,2.121327924926282e-05,0.0071942851525336,down
gene-LOC142974561,779.2844855897409,-1.2599005088880884,0.3537161855242604,-4.241510651554889,2.2202035097021493e-05,0.0072252822884073,down
gene-swi2,89.9518062522373,2.52292255916668,0.7663466220847261,4.221444637958152,2.427415773986049e-05,0.0074058938129455,up
gene-LOC142987660,6304.527209782184,4.138451751822897,1.318335188224375,4.223405073806505,2.406387502457091e-05,0.0074058938129455,up
gene-LOC142981576,65.60045521545176,2.5164704835357825,0.7650453590765361,4.2125369572304106,2.525183821609716e-05,0.0074707180758714,up
gene-LOC142983536,50.07449410548717,-3.010542315250744,0.914919651300094,-4.174969116848924,2.980264813002737e-05,0.0084009108996687,down
gene-LOC142987118,26.82763867478005,3.5905473902843954,1.110083072482644,4.172580151707617,3.0116960103288628e-05,0.0084009108996687,up
gene-bent,1071.63835472076,3.576145999474382,1.1478132323168422,4.14560988531528,3.3891042015880336e-05,0.0091910623111399,up
gene-LOC142978904,558.8062826683553,-1.7820223121350909,0.5391971534762132,-4.135140960346712,3.547368252975196e-05,0.0093602584469721,down
gene-LOC142986144,13.627634234972788,6.520629680942361,1.8555222549235808,4.109284199338148,3.968873996884855e-05,0.0101968728504175,up
gene-LOC142987496,17.52151782394113,-3.9801907376180536,1.1479579550100727,-4.097111002410171,4.1833833143426e-05,0.0104724028969043,down
gene-qin,269.47784691863023,-1.1347851686646349,0.3319780633843051,-4.084526047327743,4.416687216386158e-05,0.0105809312037861,down
gene-LOC142987562,5590.53339218298,4.599552161520859,1.5937980164880858,4.083120716363348,4.443492567399689e-05,0.0105809312037861,up
gene-GSTd2,317.2994964062869,3.829453583614274,1.3017427654821987,4.050346715778514,5.114180118436839e-05,0.0117292828214506,up
gene-LOC142987554,1264.1310528506003,5.533791370618913,1.9789486124712523,4.047985869539793,5.1660264398481736e-05,0.0117292828214506,up
gene-LOC142974889,2652.401009435349,-0.8592827332133085,0.2455590008617835,-4.011086196546496,6.044003719889004e-05,0.012112123864633,down
gene-SerRS,1077.960565371145,1.1699941899587334,0.3529364238206989,4.013965279159538,5.970713319611605e-05,0.012112123864633,up
gene-Zasp66,795.3094372237332,2.826750429862042,0.95409797118677,3.996378177736295,6.431895626343434e-05,0.012112123864633,up
gene-LOC142986440,607.7411834259317,2.970049930242437,1.0126324440307175,3.9881670281619663,6.658577760127008e-05,0.012112123864633,up
gene-A1,27342.261999001912,3.1480818770571206,1.0569040874012756,3.990384472163967,6.596627497671746e-05,0.012112123864633,up
