"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","regulation"
"gene-LOC142973394",1595.28162994625,-2.59317377781985,0.396787896194055,3.29333236732711e-12,1.04464502691616e-08,"down"
"gene-LOC142975131",298.912139480065,7.08604054171446,1.15670145855435,3.12351893779393e-11,7.43085155301177e-08,"up"
"gene-LOC142980845",426.064397888885,-4.16696515514664,0.734533095232671,6.90196960300572e-10,1.31358285484405e-06,"down"
"gene-LOC142983500",1332.08725367724,-1.81910886148065,0.319961042064702,8.69558209481108e-10,1.37911932023704e-06,"down"
"gene-LOC142976493",1321.90602228936,6.82289056885139,1.40541921004499,3.26849926048682e-08,4.44329128039894e-05,"up"
"gene-LOC142976728",1791.65068329195,-2.03824824109812,0.423928517708349,8.85112086757554e-08,0.000105284082719811,"down"
"gene-LOC142976171",1225.95644602632,-2.2959625328411,0.496164147848153,1.77350150016062e-07,0.000187518225283649,"down"
"gene-LOC142974572",554.528332878677,5.56794207626837,1.23906718575728,2.14230024304757e-07,0.000203861291128407,"up"
"gene-Tgs1",1280.17456519647,-1.73555946038724,0.382531605607675,3.73855709593907e-07,0.00032341917568142,"down"
"gene-LOC142980293",429.169342992213,7.114798846639,1.67160817498717,4.1664490503057e-07,0.000330399409689242,"up"
"gene-LOC142972829",271.32041446966,4.80503162241585,1.15089070864638,9.26447658829865e-07,0.000678159686263461,"up"
"gene-SerRS",1105.11008775769,1.31281313981746,0.305916800304325,1.65280777937614e-06,0.00112343705918167,"up"
"gene-LOC142977673",365.843250390591,-2.38321620319611,0.58047020582966,1.95673637271958e-06,0.0012413535548533,"down"
"gene-LOC142984165",154.102608000017,6.57374722761906,1.69605865888906,2.56519905498612e-06,0.00151909026426788,"up"
"gene-Sulf1",151.159035567273,2.11839745014063,0.52180861950726,2.71380143889806e-06,0.00151909026426788,"up"
"gene-LOC142976163",708.872297672413,-1.55111034005611,0.377535802558382,2.891507276329e-06,0.00152864351341927,"down"
"gene-LOC142978362",18.8008777721856,-7.99341451834193,3.0457988088076,3.42252612077458e-06,0.00162843792826455,"down"
"gene-LOC142981377",33.0552602283348,3.83270651215057,0.976856786694971,3.40570201072817e-06,0.00162843792826455,"up"
"gene-LOC142983202",592.390211589733,5.04604232886852,1.31737193592721,3.68606189181082e-06,0.00167031261726056,"up"
"gene-eIF3l",2340.36904937443,0.760198292603187,0.178026307057491,4.3820019214075e-06,0.00189541501291426,"up"
"gene-LOC142986144",14.187805088129,6.61405766217532,1.75140578206908,5.20894530227517e-06,0.00202575980595004,"up"
"gene-LOC142980297",5359.07923981462,6.59827199244166,1.84835518087945,5.53486285778698e-06,0.00202575980595004,"up"
"gene-LOC142975908",872.308682790674,6.21482332273345,1.71443809540266,5.44260767164479e-06,0.00202575980595004,"up"
"gene-LOC142981527",1818.68054906682,-1.45729317876431,0.365878030606888,5.13299950378123e-06,0.00202575980595004,"down"
"gene-LOC142980304",1292.36281553782,6.85789137385943,1.94998755859621,7.08649283869823e-06,0.00240839520903758,"up"
"gene-LOC142984745",178.094057399349,4.38721984557916,1.18840723838686,6.95849239482982e-06,0.00240839520903758,"up"
"gene-LOC142987493",867.236337833466,6.96981946075513,1.99434388810515,7.78960869018965e-06,0.00247086387652816,"up"
"gene-LOC142975272",270.784063220606,4.00309727234434,1.08512552895965,7.5640753658761e-06,0.00247086387652816,"up"
"gene-LOC142979329",169.010508879663,3.15968267717287,0.85750806074395,8.99652801258266e-06,0.00267534251774177,"up"
"gene-LOC142987660",6412.28440525012,4.34409250920872,1.22723971902868,1.13196932517969e-05,0.00307766288525998,"up"
"gene-LOC142980547",1366.18936238935,-3.50066160294524,0.975400091383139,1.11121689201594e-05,0.00307766288525998,"down"
"gene-ae48",779.32172620496,1.55744712163171,0.411680708801148,1.06970829538969e-05,0.00307766288525998,"up"
"gene-Csk",570.855299848017,-1.41208461776162,0.37537818101524,1.30655836951474e-05,0.00345366929008397,"down"
"gene-LOC142983536",51.2331802198136,-3.09845837651208,0.850441592425691,1.35650886131098e-05,0.00348879414168521,"down"
"gene-LOC142987118",26.846727748328,3.6973768118071,1.02605755971911,1.68532478135086e-05,0.00422040805771967,"up"
