	ID-1	ID-2	ID-3	ID-5	ID-7	ID-8	ID-9	ID-10	ID-12	ID-14	ID-15	ID-16	ID-18
gene-AgmNAT	1175	296	229	1591	212	2862	1408	977	25677	2881	10078	3730	51
gene-ago	314	487	866	464	311	124	176	66	76	98	107	150	581
gene-AGO1	901	999	1921	761	938	430	182	131	91	197	270	211	1410
gene-Ago2	21539	10128	12507	7144	5315	3243	3913	1803	4798	4634	3256	3817	3367
gene-AGO3	90	108	170	53	117	11	20	3	4	38	9	11	98
gene-Agpat1	885	560	738	154	172	90	88	21	135	157	85	153	73
gene-AGPAT2	2783	7749	15126	6545	8078	587	2652	3504	2235	2138	1702	4714	526
gene-AGPAT5	299	4418	9358	1232	7258	223	1037	2118	856	3310	1060	916	374
gene-Agps	106	220	1105	959	686	978	225	95	189	313	303	129	5
gene-Agxt	158	24	4	11	21	0	6	0	41	1	74	9	469
gene-Ahcy	1940	985	1631	2561	1140	2183	2801	1366	4081	3601	7193	3508	8216
gene-Ahsa1	562	181	257	844	121	593	171	151	922	244	631	416	796
gene-Ai-b	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-aif	2	5	0	11	4	0	0	0	0	0	2	6	9
gene-AIMP1	264	117	244	511	162	252	524	281	1007	561	1323	865	537
gene-AIMP3	162	67	64	185	40	168	228	239	563	408	763	615	389
gene-ais	43	18	95	130	69	57	5	1	3	15	22	22	145
gene-AK	19723	2531	1217	37989	2203	58587	8685	2062	17629	5250	22391	9213	31378
gene-Ak2	1153	243	238	2001	235	1472	967	498	1786	1863	3209	1604	2018
gene-Ak6	114	112	274	248	279	66	130	193	192	230	220	219	67
gene-Akap200	273	239	441	475	451	619	38	43	30	24	29	72	10423
gene-AKH1	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-AKH2	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-AKH3	0	6	4	0	0	0	0	0	1	1	0	0	4
gene-AkhR	59	11	13	1	3	0	0	0	15	5	28	3	266
gene-Akt	2835	2008	1897	2428	1171	1059	152	93	73	91	93	119	3780
gene-AlaRS	1074	387	611	1333	257	456	481	280	744	674	1465	1231	1277
gene-AlaRS-m	260	141	133	202	123	106	67	55	75	62	87	59	282
gene-Alas	2625	365	245	1519	138	3406	1059	545	3745	944	4379	3000	1242
gene-alc	715	784	1285	875	398	221	595	509	789	687	792	931	538
gene-Aldh	2565	762	170	2087	96	1307	1943	1077	1230	917	1348	1449	690
gene-Aldh7A1	12282	5676	6468	9253	3482	9496	6384	2237	6743	4711	4932	4900	1133
gene-Alg-2	871	710	1002	957	377	477	1186	615	1128	852	1356	1532	768
gene-Alg1	256	53	147	464	87	378	334	224	667	575	1347	1281	278
gene-Alg10	0	0	0	0	0	0	2	0	0	2	0	0	2
gene-Alg11	986	308	974	1754	410	477	808	422	1436	743	591	612	823
gene-Alg12	148	80	124	183	58	152	96	47	81	122	84	129	143
gene-Alg14	82	92	58	80	17	42	131	155	126	92	236	156	69
gene-Alg2	411	233	316	259	92	109	368	126	272	396	322	335	291
gene-Alg3	171	77	100	175	42	78	139	48	252	162	254	185	611
gene-Alg7	236	143	118	258	77	68	260	150	240	304	396	392	116
gene-Alg9	119	118	258	155	106	99	36	9	10	58	44	2	286
gene-alien	1228	1137	1728	973	657	351	972	533	672	546	517	549	1467
gene-ALiX	3548	3074	3726	3139	3607	1299	178	186	150	365	424	529	4324
gene-Alk	9	15	27	3	16	0	2	0	0	0	0	0	132
gene-alka	0	3	9	3	14	11	23	8	10	2	4	0	3
gene-AlkB	112	41	144	104	58	75	176	102	1100	352	293	195	64
gene-alph	2299	1590	1282	2837	452	777	1218	493	726	927	772	453	2453
gene-alpha-Cat	515	251	492	411	718	268	102	51	48	98	131	161	949
gene-alpha-Catr	11	10	21	5	33	39	10	2	5	5	9	2	1404
gene-alpha-Man-Ib	447	264	809	397	187	143	150	53	142	182	250	316	204
gene-alpha-Man-IIa	331	80	87	432	51	137	34	28	42	116	105	41	481
gene-alpha-Man-IIb	3509	155	675	3613	146	1478	572	41	277	1072	657	367	1058
gene-alpha-PheRS	537	221	330	1170	298	598	453	203	611	540	1067	854	1509
gene-alpha-Spec	4964	461	808	8347	632	6572	149	49	336	302	807	598	6394
gene-alphaCOP	3779	1415	2384	3562	1812	2218	201	103	136	147	258	304	3807
gene-alphaSnap	2037	1697	2644	1410	794	529	2115	658	764	797	1055	887	1318
gene-Alr	464	73	115	1069	25	234	850	149	1500	399	1109	1057	44
gene-Als2	379	369	580	145	209	34	129	84	33	80	65	54	85
gene-Aly	175	120	321	150	102	50	196	99	120	240	224	276	173
gene-Amacr	218	287	129	240	44	149	519	608	1097	498	461	1384	337
gene-Amnionless	0	0	0	0	0	0	0	0	0	0	0	0	100
gene-amon	50	43	57	12	0	0	4	8	1	4	0	8	36
gene-Amph	3616	9168	18323	1656	8387	1196	724	527	469	563	474	219	10170
gene-AMPKalpha	1216	1304	1916	1354	1005	377	600	477	343	570	466	340	856
gene-amrt	322	343	360	310	324	16	547	532	711	456	422	874	282
gene-Amt	0	0	58	3	0	0	11	0	0	0	0	0	0
gene-Amun	2671	3573	9823	2059	5440	981	598	332	704	431	443	413	4157
gene-amx	469	410	769	381	312	143	1057	852	1275	812	992	1385	249
