	ID-1	ID-2	ID-3	ID-5	ID-7	ID-8	ID-9	ID-10	ID-12	ID-14	ID-15	ID-16	ID-18
gene-LOC142973370	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973371	0	1	0	0	0	0	0	0	0	0	0	0	27
gene-LOC142973372	0	5	2	1	0	0	6	2	0	0	0	0	0
gene-LOC142973373	3	3	0	0	0	0	28	4	50	0	0	6	1115
gene-LOC142973374	0	0	0	1	0	0	3	2	1	0	0	1	12
gene-LOC142973375	124	92	212	182	105	83	192	117	177	226	182	183	103
gene-LOC142973376	48	21	38	48	6	47	99	65	86	132	221	98	18
gene-LOC142973377	0	0	0	1	0	0	0	0	0	0	0	0	0
gene-LOC142973378	0	0	1	0	0	0	0	1	3	0	0	0	0
gene-LOC142973379	0	0	0	0	0	0	0	0	0	0	0	8	0
gene-LOC142973380	28	54	19	32	56	151	122	53	104	49	23	39	152
gene-LOC142973382	338	425	1594	80	211	42	197	209	256	102	129	120	48
gene-LOC142973383	1	3	9	8	21	10	21	35	26	6	5	5	10
gene-LOC142973384	1	9	0	17	15	29	22	29	41	17	13	0	50
gene-LOC142973385	8	30	17	10	29	32	7	39	6	17	0	19	42
gene-LOC142973386	485	533	896	317	449	159	679	589	1065	725	1069	1359	291
gene-LOC142973387	178	302	537	156	147	26	301	231	172	164	131	255	188
gene-LOC142973388	24	62	31	87	85	443	238	413	525	173	103	58	98
gene-LOC142973389	85	42	120	119	75	61	80	81	264	191	150	243	116
gene-LOC142973390	1	2	0	0	0	0	0	0	1	0	0	0	9
gene-LOC142973391	1	0	0	0	0	0	8	3	23	0	0	0	0
gene-LOC142973392	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973393	75	51	126	7	56	25	54	26	58	30	57	65	326
gene-LOC142973394	2705	1704	1888	180	272	281	1828	1397	1890	1869	2492	2197	120
gene-LOC142973395	20	16	1	57	0	0	29	13	33	8	19	21	132
gene-LOC142973397	0	0	0	0	0	0	0	2	0	0	0	0	0
gene-LOC142973398	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973399	0	0	0	0	3	0	0	0	4	0	0	0	0
gene-LOC142973400	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973402	0	0	0	0	0	0	0	0	0	0	0	0	106
gene-LOC142973403	0	0	0	0	0	0	0	0	0	0	0	0	90
gene-LOC142973404	0	0	4	0	0	0	0	0	0	0	0	0	9
gene-LOC142973405	0	0	6	0	0	0	5	0	0	0	0	0	53
gene-LOC142973406	0	2	2	0	0	14	5	0	0	0	0	0	367
gene-LOC142973407	0	0	0	2	0	0	0	0	0	0	0	0	0
gene-LOC142973408	46	97	72	93	66	10	102	42	109	91	49	104	71
gene-LOC142973410	0	3	6	0	0	0	0	0	0	0	4	0	0
gene-LOC142973412	4040	5361	15784	4895	14386	3139	13069	8949	12938	8164	6726	24582	12
gene-LOC142973413	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973414	1	6	0	1	0	0	0	0	0	0	0	0	0
gene-LOC142973415	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973416	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973426	529	397	717	484	431	148	145	100	112	171	111	89	528
gene-LOC142973427	2	6	5	2	0	0	3	14	5	4	2	0	0
gene-LOC142973430	117	8	8	15	0	1595	341	64	392	130	424	504	65
gene-LOC142973431	471	634	1008	297	159	2594	685	232	198	316	197	285	495
gene-LOC142973433	2	2	21	13	0	4	21	0	0	39	31	58	0
gene-LOC142973434	23	31	27	45	41	239	21	16	10	11	28	7	1051
gene-LOC142973435	0	0	0	0	0	0	0	0	0	0	0	2	0
gene-LOC142973436	465	177	191	677	50	297	267	164	684	574	412	205	504
gene-LOC142973437	23	21	9	57	30	41	39	59	191	84	296	166	77
gene-LOC142973438	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973442	40	16	19	54	0	12	21	15	5	17	23	3	25
gene-LOC142973443	147	52	83	130	70	50	37	15	38	20	17	22	361
gene-LOC142973444	0	0	0	4	15	0	0	0	2	0	0	1	11
gene-LOC142973445	11300	2036	1751	8151	638	3649	1303	548	1342	1378	3073	1093	2977
gene-LOC142973448	5	21	14	0	0	11	8	11	9	1	6	13	3
gene-LOC142973449	11	0	0	5	0	15	2	0	13	7	2	8	13
gene-LOC142973452	5	12	20	2	0	10	0	0	4	1	0	0	10
gene-LOC142973453	143	71	75	208	197	101	101	165	188	66	94	39	380
gene-LOC142973454	116	197	76	208	143	258	71	109	49	125	50	72	203
gene-LOC142973456	20	21	4	34	12	10	0	31	23	7	26	18	26
gene-LOC142973457	0	5	0	0	0	0	0	0	0	0	0	0	7
gene-LOC142973458	62	154	276	74	62	0	144	97	124	55	66	119	118
gene-LOC142973465	0	0	0	0	0	0	5	4	18	1	7	0	0
gene-LOC142973466	3	6	13	10	0	0	8	0	10	7	14	2	3
gene-LOC142973467	2424	1769	1751	1834	263	5289	2470	813	2377	3541	2508	3181	21836
gene-LOC142973469	390	2370	1396	971	633	353	323	789	491	1907	808	236	19788
gene-LOC142973471	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973472	3	13	0	25	21	0	14	5	17	13	18	18	20
gene-LOC142973473	6496	14864	1551	951	2547	415	3941	7940	7511	2286	4214	4695	0
gene-LOC142973474	7551	185	4485	275	379	323	1482	519	4587	1470	2373	325	0
gene-LOC142973476	938	614	17	76	5	93	120	438	1008	51	1113	509	0
gene-LOC142973477	679	175	0	961	0	134	648	660	2058	630	649	291	0
gene-LOC142973478	26	73	458	6	123	34	23	10	7	6	6	6	543
gene-LOC142973482	1095	232	147	448	156	504	740	439	1437	948	1647	2019	3697
gene-LOC142973485	1	1	0	0	0	0	0	0	0	0	0	0	1
gene-LOC142973486	223	148	107	335	78	329	457	410	1118	1103	1619	1282	579
gene-LOC142973487	470	276	1009	1090	759	385	384	260	411	356	366	379	1531
gene-LOC142973488	0	11	5	9	0	5	0	0	0	0	0	3	176
gene-LOC142973489	2	0	6	6	0	40	36	8	37	2	27	2	210
gene-LOC142973491	736	956	1199	467	603	202	932	923	1774	869	1213	1336	620
gene-LOC142973492	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973495	33	37	47	35	38	13	53	25	34	34	38	24	73
gene-LOC142973498	4997	1111	1918	2868	1629	6845	1792	964	3180	739	2075	3356	3586
gene-LOC142973501	461	947	3032	793	737	108	677	581	483	475	559	746	425
gene-LOC142973502	1545	3008	3091	1368	547	488	910	414	432	461	392	592	2586
gene-LOC142973503	1396	630	980	779	432	511	147	112	117	142	225	239	1177
gene-LOC142973507	381	316	426	437	454	332	54	59	26	77	105	70	1925
gene-LOC142973508	224	153	97	155	71	14	54	43	18	21	8	16	182
gene-LOC142973509	0	0	0	0	0	0	5	0	3	0	0	0	0
gene-LOC142973511	237	136	168	430	163	289	608	173	909	1250	2632	1658	270
gene-LOC142973512	74	127	201	151	246	415	747	444	1062	1256	977	789	453
gene-LOC142973513	0	3	0	0	11	0	0	0	0	0	0	0	0
gene-LOC142973514	714	2315	2586	366	1924	184	83	73	13	54	43	41	1847
gene-LOC142973519	768	724	1268	493	583	215	390	168	282	263	302	420	508
gene-LOC142973520	32	75	129	23	48	95	18	22	3	21	10	7	1277
gene-LOC142973521	8	7	0	15	0	60	8	3	20	10	13	7	17
gene-LOC142973522	1	0	3	0	0	0	0	0	1	0	0	1	0
gene-LOC142973523	39	55	30	42	28	32	65	37	70	97	126	61	91
gene-LOC142973524	712	711	1519	1059	604	158	1738	496	721	496	843	1069	366
gene-LOC142973526	2289	2365	4130	5225	1623	918	2825	1650	2014	1980	2174	2099	7117
gene-LOC142973529	53	23	0	2	26	0	98	0	15	2	23	3	75
gene-LOC142973531	507	318	446	898	399	563	1060	940	1329	912	1429	1564	955
gene-LOC142973533	314	292	349	325	83	17	722	728	745	527	587	685	277
gene-LOC142973535	331	495	1210	311	469	117	224	116	159	153	181	183	2356
gene-LOC142973536	1	14	93	0	10	7	3	0	0	0	0	0	14
gene-LOC142973537	298	515	1148	275	640	125	127	31	47	75	82	90	203
gene-LOC142973538	695	232	174	606	226	1165	274	80	271	676	885	676	1339
gene-LOC142973539	228	32	51	307	8	328	284	154	1165	746	2358	1097	12
gene-LOC142973541	9538	1803	998	5866	613	3715	3370	1111	6891	9811	10290	9482	356
gene-LOC142973546	93	59	88	81	121	126	24	31	83	50	43	60	443
gene-LOC142973548	427	345	341	371	182	299	720	445	1208	638	1036	1227	215
gene-LOC142973550	0	0	0	0	0	0	0	0	0	2	0	0	1
gene-LOC142973551	7	3	43	11	19	28	3	0	0	0	0	0	381
gene-LOC142973555	8573	1098	2326	10806	421	15277	1185	313	1286	1875	2658	1443	2
gene-LOC142973557	990	454	300	993	50	464	361	132	270	201	229	233	77
gene-LOC142973558	803	667	434	653	107	237	479	173	311	500	156	189	741
gene-LOC142973559	10	6	5	1	35	0	0	0	4	7	7	6	7
gene-LOC142973561	977	1651	2389	1041	758	376	282	209	114	330	112	122	1231
gene-LOC142973562	2	1	1	1	0	24	0	0	0	0	0	0	51
gene-LOC142973564	34	34	353	35	26	45	13	8	137	210	738	93	69
gene-LOC142973565	872	14	1860	0	195	9	4	35	79	8	113	0	2666
gene-LOC142973566	46	35	50	24	18	0	49	27	88	49	125	69	21
gene-LOC142973568	5764	2630	3330	2241	2085	2591	949	496	677	1347	1577	1161	1094
gene-LOC142973569	1949	643	526	793	274	248	291	135	201	96	227	146	6594
gene-LOC142973570	124	141	337	309	100	40	292	213	185	255	219	174	265
gene-LOC142973572	3168	1829	2020	1539	1672	1160	539	267	318	589	693	589	12
gene-LOC142973573	6	3	1	3	0	0	0	0	0	0	2	0	0
gene-LOC142973574	495	111	7	138	0	28	0	0	93	8	33	3	809
gene-LOC142973575	2	0	0	0	0	0	0	3	0	0	0	0	0
gene-LOC142973577	9299	814	150	5140	95	8225	5195	6389	35219	15096	24656	10765	63
gene-LOC142973578	7322	1854	506	8826	511	3358	6227	7523	12630	7145	5764	1803	929
gene-LOC142973579	719	500	401	888	143	1115	1010	795	3724	1900	1879	1346	297
gene-LOC142973580	2337	1688	3239	1925	1350	696	590	317	276	812	538	552	535
gene-LOC142973581	274	454	972	219	242	45	342	207	205	174	138	221	376
gene-LOC142973582	393	469	370	872	225	248	463	377	472	369	482	487	2304
gene-LOC142973583	172	96	106	102	141	132	311	281	358	325	400	367	149
gene-LOC142973584	207	274	254	206	239	276	776	616	1123	824	1177	1089	120
gene-LOC142973585	979	1126	1031	1018	620	928	3828	3754	7066	3985	7186	6292	525
gene-LOC142973586	328	269	459	194	190	102	74	115	180	163	156	108	494
gene-LOC142973587	261	314	527	292	340	113	396	284	162	290	181	218	235
gene-LOC142973589	58890	59787	34760	32841	19774	2871	12417	4733	5542	7692	5830	10081	0
gene-LOC142973590	0	0	0	0	0	0	0	0	0	0	0	0	226
gene-LOC142973591	0	1	0	0	0	11	0	0	0	1	1	0	35
gene-LOC142973592	260	97	12	17	46	1219	7	15	81	10	693	7	807
gene-LOC142973593	663	106	1	552	194	58	50	45	91	38	152	4	544
gene-LOC142973594	362	469	292	326	122	84	262	171	143	506	240	222	507
gene-LOC142973596	16	16	26	47	24	44	3	4	15	21	34	15	300
gene-LOC142973597	2407	967	1690	832	497	523	520	239	334	303	229	365	414
gene-LOC142973600	1354	1461	5865	1578	2552	379	323	275	238	320	208	221	2843
gene-LOC142973602	10	106	18	26	42	173	25	26	27	22	4	17	464
gene-LOC142973603	1870	1774	4249	697	1445	245	1613	979	1495	766	718	793	2
gene-LOC142973604	145	230	242	134	682	520	235	133	295	163	254	124	1511
gene-LOC142973605	614	738	1083	799	828	410	1648	2038	2877	2902	2308	2274	1715
gene-LOC142973609	522	270	416	697	311	491	155	96	152	193	201	184	1138
gene-LOC142973611	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973614	19	34	83	27	157	385	18	9	36	29	118	11	54
gene-LOC142973615	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973616	12	11	3	1	0	0	0	12	5	1	0	0	95
gene-LOC142973617	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973619	37	32	71	94	11	69	111	79	192	81	91	46	292
gene-LOC142973620	170	55	29	79	29	93	71	144	95	101	72	67	60
gene-LOC142973621	161	47	15	76	6	391	178	208	185	1631	211	527	74
gene-LOC142973622	752	189	329	300	182	187	71	49	33	194	105	59	146
gene-LOC142973623	7	14	18	14	0	13	8	1	1	4	8	0	2
gene-LOC142973625	0	0	3	2	0	0	0	0	0	0	2	0	3
gene-LOC142973627	74	53	66	110	83	68	209	202	398	271	412	342	72
gene-LOC142973631	470	378	523	528	198	284	568	349	715	511	907	800	1522
gene-LOC142973632	124	115	275	80	53	68	261	189	228	212	146	228	60
gene-LOC142973633	139	210	208	161	59	53	150	95	131	132	225	296	100
gene-LOC142973634	8	18	17	34	19	17	15	8	0	0	12	11	2
gene-LOC142973635	1030	2088	5217	1172	1730	313	548	229	297	362	321	439	706
gene-LOC142973636	475	1537	1899	814	622	121	708	776	626	377	622	622	36
gene-LOC142973637	0	6	0	2	0	44	1	13	3	1	0	4	0
gene-LOC142973640	1	8	4	2	0	0	5	0	0	0	0	0	0
gene-LOC142973641	949	501	110	215	128	212	1424	692	1373	205	570	1471	441
gene-LOC142973642	4	9	37	6	0	0	28	4	46	19	25	7	19
gene-LOC142973644	12996	19194	11900	7034	5832	1631	37998	34451	43221	11028	11187	16772	105
gene-LOC142973645	386	132	281	341	139	140	91	43	101	62	32	37	569
gene-LOC142973648	1141	257	97	4535	208	3072	1952	1913	4155	6726	12453	12568	1
gene-LOC142973650	27	40	19	8	153	15	142	37	43	6	19	9	0
gene-LOC142973651	900	661	1081	735	428	258	459	339	384	496	606	579	834
gene-LOC142973652	312	230	342	227	184	104	62	43	42	98	50	102	162
gene-LOC142973653	1587	353	64	745	36	457	386	209	285	432	590	683	120
gene-LOC142973655	126	25	15	322	0	28	247	172	130	179	19	396	0
gene-LOC142973657	0	3	316	16	1014	669	218	151	278	16	45	4	14579
gene-LOC142973660	392	249	528	373	374	187	121	40	58	140	86	98	533
gene-LOC142973662	1278	468	313	1499	301	934	2450	854	2713	3655	6325	4981	13
gene-LOC142973663	6857	3233	3148	9696	2326	9615	3073	1498	2900	2498	3986	2093	21577
gene-LOC142973667	901	654	746	856	571	950	1242	685	2192	1507	2415	2153	728
gene-LOC142973669	746	853	933	1004	391	368	1006	586	912	1005	1352	1294	388
gene-LOC142973673	537	412	640	285	270	103	79	64	24	64	53	73	863
gene-LOC142973677	45	66	89	83	45	14	95	86	198	140	302	152	40
gene-LOC142973678	3	8	8	9	13	0	0	0	0	0	0	0	7
gene-LOC142973679	0	4	0	0	0	0	0	4	0	0	0	0	0
gene-LOC142973685	0	0	0	0	0	0	4	0	0	0	0	0	33
gene-LOC142973686	2	1	323	1	205	27	1	2	5	1	4	0	5
gene-LOC142973687	151	178	291	190	155	81	341	269	473	366	415	455	184
gene-LOC142973688	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973692	322	523	252	624	209	194	578	773	660	545	494	938	1597
gene-LOC142973695	151	145	204	158	155	42	191	139	185	246	293	343	118
gene-LOC142973696	6	4	18	11	0	15	8	0	8	12	15	4	43
gene-LOC142973699	5	1	3	3	0	0	0	3	3	0	2	0	0
gene-LOC142973701	0	0	21	3	0	54	1	0	0	1	2	0	5
gene-LOC142973702	3	3	16	1	11	27	0	0	1	0	0	0	27
gene-LOC142973703	396	474	21	592	39	416	275	1692	2614	601	1900	1589	0
gene-LOC142973704	397	282	203	1390	255	766	806	915	1469	1149	2621	2876	463
gene-LOC142973705	14867	19301	12145	11830	17437	5286	19461	20644	26749	9850	11707	23353	1023
gene-LOC142973707	732	812	2234	398	2038	294	120	100	79	192	268	275	4004
gene-LOC142973709	755	1037	1111	698	2575	5352	452	246	493	319	443	286	83746
gene-LOC142973715	312	310	251	769	81	406	134	119	148	131	102	111	1011
gene-LOC142973716	4	4	29	4	16	14	0	1	3	0	1	0	1334
gene-LOC142973717	8	4	45	8	57	78	31	40	45	13	30	5	381
gene-LOC142973718	1	3	1	0	0	0	0	0	0	0	0	0	2
gene-LOC142973721	151	133	589	174	419	382	470	185	1026	572	641	580	478
gene-LOC142973722	112	170	678	154	251	174	528	286	957	824	784	875	97
gene-LOC142973723	7	46	95	6	87	0	0	15	1	10	1	19	0
gene-LOC142973724	1235	2696	3472	1245	1433	1397	688	732	756	750	850	1106	3044
gene-LOC142973725	4	9	3	2	6	0	0	0	0	0	4	0	1530
gene-LOC142973727	72	163	686	146	314	23	1	8	7	3	5	3	1017
gene-LOC142973728	365	334	713	359	216	73	345	301	270	342	177	326	107
gene-LOC142973730	27	13	17	10	8	0	16	7	1	4	0	3	26
gene-LOC142973732	27	29	12	20	13	0	6	3	3	15	8	14	28
gene-LOC142973733	20	47	21	2	117	0	0	4	28	1	73	1	1093
gene-LOC142973734	456	197	118	217	67	125	935	634	1653	990	1082	1724	138
gene-LOC142973736	145	121	288	622	203	136	123	55	72	114	116	76	568
gene-LOC142973737	0	0	0	0	0	0	3	3	4	0	0	0	2
gene-LOC142973740	30	18	36	39	23	23	17	14	25	27	24	13	15
gene-LOC142973741	4985	2902	4858	25826	318	3072	1217	902	1774	2499	2187	1776	5
gene-LOC142973743	0	0	0	1	0	0	0	0	0	0	0	0	0
gene-LOC142973744	0	3	2	0	0	0	0	0	0	0	0	0	20
gene-LOC142973745	1	0	0	9	0	0	3	0	1	0	0	0	0
gene-LOC142973746	7658	3131	246	5529	136	1253	1845	499	3394	2597	2555	1824	0
gene-LOC142973748	0	0	8	0	10	0	0	0	0	0	0	0	101
gene-LOC142973749	4	0	37	8	0	12	15	11	16	7	23	13	8
gene-LOC142973750	161	178	213	81	200	121	517	346	730	383	778	712	146
gene-LOC142973751	3768	3575	6445	2077	2067	808	5890	906	1094	1920	3715	5114	350
gene-LOC142973753	58	59	26	72	110	1278	89	45	239	131	290	108	1644
gene-LOC142973754	14424	7285	6402	21054	6383	25998	18833	10354	54606	38843	60082	45884	2
gene-LOC142973760	3662	1913	330	878	485	492	636	380	487	391	675	621	1508
gene-LOC142973761	0	0	2	0	7	0	0	0	0	0	0	0	240
gene-LOC142973763	113	155	140	1137	132	325	148	66	89	126	108	116	3
gene-LOC142973765	2560	1825	1335	5908	168	342	1150	606	498	1150	496	381	4
gene-LOC142973766	703	435	340	1284	152	513	312	252	302	524	473	507	2
gene-LOC142973767	18545	3380	1080	76724	910	9787	4572	1878	3459	9509	6239	7198	0
gene-LOC142973770	98	50	68	74	46	357	28	23	100	28	53	45	27
gene-LOC142973772	189	29	4	0	22	1	0	3	17	0	41	0	893
gene-LOC142973773	0	6	2	0	0	17	0	0	2	0	0	0	415
gene-LOC142973774	98	52	160	73	125	137	24	13	22	20	27	31	50
gene-LOC142973775	15	17	8	3	0	0	0	2	1	0	7	5	68
gene-LOC142973779	585	504	755	240	509	189	103	60	78	133	107	104	1074
gene-LOC142973783	784	749	1172	979	803	380	416	277	407	284	205	243	1860
gene-LOC142973788	9038	7680	2346	7440	1212	2531	3291	1822	630	4019	2974	2248	3264
gene-LOC142973790	960	515	467	1045	208	518	522	204	443	397	357	450	1749
gene-LOC142973791	23	14	70	33	78	461	116	63	69	35	71	10	127
gene-LOC142973792	0	0	1	0	4	0	0	0	12	2	2	1	8
gene-LOC142973795	178	289	820	147	352	23	97	60	72	61	29	60	60
gene-LOC142973796	414	1373	906	379	698	201	34	290	92	163	61	132	183
gene-LOC142973799	58846	70496	10643	16270	9399	6200	12685	8319	23541	6886	12228	22599	0
gene-LOC142973800	0	4	6	4	0	0	0	0	0	0	0	0	0
gene-LOC142973801	0	0	11	0	0	14	0	0	0	0	3	0	305
gene-LOC142973802	5	20	385	8	195	92	6	22	10	4	5	3	77821
gene-LOC142973803	23	17	17	17	0	0	30	29	45	19	23	29	26
gene-LOC142973807	1	0	0	7	0	0	0	0	0	0	0	0	0
gene-LOC142973808	0	2	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973809	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973810	1	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973811	58	28	20	192	11	140	516	416	1407	679	873	724	34
gene-LOC142973814	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973815	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973817	396	156	6	10	12	54	205	228	397	455	1231	798	0
gene-LOC142973818	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973819	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973820	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973821	584	360	491	525	187	178	495	318	520	618	1031	637	436
gene-LOC142973822	1	0	2	0	0	0	0	0	0	0	0	0	0
gene-LOC142973823	0	0	0	4	0	0	0	0	0	0	0	0	0
gene-LOC142973824	6	0	0	3	0	0	0	0	0	2	0	0	53
gene-LOC142973825	0	0	0	0	0	0	0	0	0	0	0	0	1257
gene-LOC142973826	111	61	66	117	22	51	69	0	90	31	10	10	85
gene-LOC142973827	18	16	21	0	0	0	0	0	3	0	6	0	1701
gene-LOC142973828	2	1	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973829	0	3	0	0	0	0	0	6	0	0	0	0	0
gene-LOC142973830	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973831	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973832	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973833	0	0	0	0	8	0	0	0	0	0	8	6	0
gene-LOC142973834	21714	5117	3603	46340	3594	15672	10091	2839	9609	17494	15913	15856	23
gene-LOC142973835	2458	1704	1599	2223	656	499	931	432	792	984	850	863	724
gene-LOC142973836	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973837	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973838	0	0	0	0	0	0	0	0	0	0	0	0	2
gene-LOC142973839	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973840	0	8	2	1	0	0	0	0	1	0	0	0	110
gene-LOC142973841	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973843	0	0	0	0	0	0	5	5	36	0	3	4	189
gene-LOC142973844	137	52	18	39	14	9	128	116	92	143	137	216	48
gene-LOC142973845	3	10	4	11	0	30	14	1	5	3	6	6	0
gene-LOC142973846	1	8	0	11	0	0	3	0	8	2	0	0	0
gene-LOC142973848	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973849	10	2	1	2	0	0	11	0	0	4	2	0	31
gene-LOC142973851	7	4	0	4	0	0	30	22	15	5	12	48	9
gene-LOC142973852	0	0	0	0	0	0	0	1	0	1	1	7	3
gene-LOC142973853	359	249	420	103	78	260	38	53	71	83	51	64	14
gene-LOC142973854	1	36	5	32	30	261	151	31	19	46	27	43	140
gene-LOC142973855	0	0	0	0	0	21	5	1	7	2	0	0	10
gene-LOC142973856	1	16	0	5	0	0	22	15	23	9	9	1	5
gene-LOC142973857	70	49	52	59	37	38	35	28	117	105	144	155	84
gene-LOC142973858	0	11	0	0	0	0	0	4	0	0	1	2	10
gene-LOC142973859	1	17	3	17	0	146	72	12	6	3	0	17	32
gene-LOC142973860	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973861	16	244	66	76	12	21	467	718	62	90	401	380	0
gene-LOC142973862	2	8	12	9	26	0	2	0	6	0	1	7	9
gene-LOC142973863	5	2	0	2	0	0	2	1	8	4	0	0	0
gene-LOC142973864	0	3	0	0	0	0	0	0	0	0	7	0	1
gene-LOC142973865	4	0	0	2	0	0	3	0	4	8	0	4	0
gene-LOC142973866	2	0	0	3	0	18	5	0	0	0	0	1	0
gene-LOC142973867	1	5	5	4	2	39	19	5	7	1	0	5	24
gene-LOC142973869	756	529	598	901	742	1893	1628	1036	3627	3213	4152	3014	1502
gene-LOC142973871	1	25	96	4	64	15	24	16	9	6	4	0	64
gene-LOC142973872	4	20	11	2	4	0	4	0	3	0	2	0	1721
gene-LOC142973873	0	0	2	0	0	33	0	0	5	0	0	1	26
gene-LOC142973874	131	13	19	232	1	112	311	391	1439	787	896	55	92
gene-LOC142973875	5	5	0	2	0	0	1	3	8	14	14	7	14
gene-LOC142973876	1	2	0	0	0	0	2	1	0	0	1	1	0
gene-LOC142973877	521	261	296	593	133	142	1290	413	2336	1137	1222	1242	0
gene-LOC142973878	128	173	219	159	180	0	170	299	201	303	358	390	47
gene-LOC142973879	0	2	5	2	0	0	0	0	1	1	0	0	0
gene-LOC142973880	1	3	0	0	11	0	1	0	4	6	9	0	7
gene-LOC142973881	0	0	16	0	10	11	0	12	3	0	11	0	0
gene-LOC142973883	0	0	0	0	0	0	0	0	1	0	0	0	0
gene-LOC142973884	0	0	2	0	0	0	0	0	0	0	0	0	0
gene-LOC142973886	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973887	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973888	0	0	0	0	0	0	3	0	0	0	0	0	0
gene-LOC142973889	1	1	0	5	3	18	20	2	0	2	1	0	0
gene-LOC142973890	6	12	0	1	0	108	30	22	83	40	59	0	11
gene-LOC142973892	3	0	2	0	0	0	3	1	1	6	0	0	332
gene-LOC142973894	1	3	1	1	0	0	0	0	0	0	0	2	0
gene-LOC142973895	0	0	0	0	0	0	0	0	0	0	0	0	3
gene-LOC142973897	0	6	2	0	0	0	0	0	0	0	0	2	2024
gene-LOC142973898	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973899	0	0	0	1	0	0	0	0	0	0	3	0	0
gene-LOC142973900	0	1	2	0	0	0	0	0	0	0	0	0	0
gene-LOC142973902	0	4	0	0	0	0	12	6	0	5	4	0	0
gene-LOC142973903	0	5	1	0	0	12	11	0	2	17	2	0	6
gene-LOC142973905	19	62	1015	9	438	0	25	30	38	9	11	17	197
gene-LOC142973906	0	0	0	0	0	0	5	0	0	0	0	0	0
gene-LOC142973907	0	0	1	0	0	17	0	0	1	2	0	0	0
gene-LOC142973909	0	0	1	0	0	0	0	0	0	0	0	2	0
gene-LOC142973910	1	3	1	0	0	0	1	0	0	0	0	0	3
gene-LOC142973912	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973913	2	2	11	7	0	12	14	11	10	10	16	2	37
gene-LOC142973914	0	0	5	2	0	0	0	0	0	0	0	0	0
gene-LOC142973915	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973916	1	2	0	7	10	0	1	5	13	7	0	5	0
gene-LOC142973917	0	0	0	0	0	0	0	0	0	0	0	0	8
gene-LOC142973918	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973919	23	67	4	1	18	0	0	1	0	0	0	0	201
gene-LOC142973920	5	10	7	0	13	0	6	0	0	0	5	0	5
gene-LOC142973921	1	3	3	3	0	62	0	0	0	1	0	10	4
gene-LOC142973922	6	0	0	0	0	0	0	0	0	1	2	0	0
gene-LOC142973923	10	2	1	13	2	0	27	55	93	37	136	47	0
gene-LOC142973924	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973925	2	6	25	1	44	0	8	9	5	8	5	6	0
gene-LOC142973926	0	0	0	1	0	0	0	0	0	0	2	0	0
gene-LOC142973942	539	648	1726	317	1241	166	73	75	69	163	253	247	112
gene-LOC142973944	0	1	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142973946	1020	768	946	1462	590	696	1732	1278	1779	2093	2693	2132	1478
gene-LOC142973950	372	372	732	292	134	122	231	110	106	135	95	151	150
gene-LOC142973951	0	0	0	0	0	0	0	3	0	0	0	0	0
