	ID-1	ID-2	ID-3	ID-5	ID-7	ID-8	ID-9	ID-10	ID-12	ID-14	ID-15	ID-16	ID-18
gene-LOC142972668	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142972669	2.275211	1.18737	3.922001	3.009978	6.424832	1.723506	3.525444	2.382476	1.275405	2.781648	2.500213	1.569903	1.859261
gene-LOC142972670	1.07662	0.963385	2.710116	1.006776	0.864376	0.271715	1.715118	1.421732	1.090395	1.105181	0.600203	1.08549	0.984788
gene-LOC142972671	0.096518	0.252978	0	0.038211	0	0	0	0	0	0	0	0.101129	0
gene-LOC142972672	37.198479	25.711211	45.206394	53.999073	24.367537	33.749928	69.17852	50.854601	104.75434	69.985627	154.160084	111.791049	48.217296
gene-LOC142972674	0.169702	0.080586	4.234132	1.540269	0.21511	0	0.464985	0	0.128545	0.061713	0.013861	0.587182	0.740075
gene-LOC142972675	0.058256	0.039203	0.154678	0.017621	0.190564	0	0	0	0.050816	0.063996	0.045842	0	0
gene-LOC142972676	0.4034	0.156923	0.117504	0.036965	0	0	0	0	0.341759	0	0.534082	0	10.143131
gene-LOC142972678	3.208804	3.199083	10.833408	4.762956	8.837482	2.352453	4.530622	3.161477	3.969089	4.603988	6.232343	6.162486	2.373323
gene-LOC142972680	0.10462	0	0	0.194896	0	0	0	0.030376	0.018119	0	0	0	0.529331
gene-LOC142972681	0.092482	0.014258	0	0.130687	0.348538	0	0	0.122973	0	0.027714	0	0	0
gene-LOC142972682	5.813755	7.028306	15.771976	6.012117	7.724159	0.587617	10.519466	15.020829	8.404387	13.524134	12.248919	19.138891	1.195862
gene-LOC142972683	0	0.032102	0	0.031872	0	0	0	0	0	0.021053	0	0	0.053245
gene-LOC142972684	2.643276	1.573777	4.145483	1.030129	1.358407	2.028229	2.404356	2.053038	2.994541	3.806427	2.070315	3.506019	2.584887
gene-LOC142972685	34.837534	42.191188	154.652093	40.815995	83.308307	6.264436	51.020969	45.285431	33.533854	26.144695	12.857983	39.662782	6.468549
gene-LOC142972687	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142972688	14.258754	46.138649	27.817704	14.615841	108.715678	13.786811	30.737274	58.763673	48.734677	58.760539	79.927899	58.120015	36.921921
gene-LOC142972689	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142972690	0	2.811679	0	0	0	0	0.402725	0	0	0	0	0	0
gene-LOC142972691	0	0	0	0	0	0	0.402725	0	0	0	0	0	0
gene-LOC142972692	0	0	0	0	0	0	0.402725	0	0	0	0	0	0
gene-LOC142972693	0	0	0	0	0	0	0.402725	0	0	0	0	0	0
gene-LOC142972695	0	0	0	0	0	0	0.402725	0	0	0	0	0	0
gene-LOC142972696	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142972697	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142972702	119.775832	9.944285	378.253326	155.673491	528.300998	84.612129	57.279717	102.45473	231.764439	129.787716	123.10957	252.482932	103.214275
gene-LOC142972727	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142972728	0	0.198915	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142972729	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142972730	2.071132	0.424609	1.074339	2.311153	0.962248	0.698849	0	0	0	0	0.019108	0	4.958572
gene-LOC142972731	3.57642	1.694061	6.350589	8.417607	5.03701	2.232226	1.395379	2.316358	2.035012	2.892466	1.891987	3.01968	2.761436
gene-LOC142972735	25.320247	11.510173	9.049899	62.913928	5.526217	5.52792	15.773997	17.445299	11.172396	14.612174	9.431494	8.775045	0
gene-LOC142972736	7.258068	3.140769	10.854223	10.116133	12.939086	6.606917	3.288747	2.292432	2.953947	2.659115	2.287817	2.773687	18.409591
gene-LOC142972739	0.036252	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142972740	0.662528	0.578102	3.402323	5.277943	3.475565	0	8.457225	33.091055	8.423859	2.829905	0.271069	2.891547	0
gene-LOC142972741	0	0.087126	0.302281	0.632734	0	0	0.198678	0.311197	0.085823	0.066363	0	0	0.354571
gene-LOC142972742	11.557688	2.070674	4.454526	52.007711	2.963825	10.869604	11.433905	7.563747	16.465066	16.246253	26.956549	19.396446	0.12545
gene-LOC142972743	0.041268	0.018224	0.234184	0.058204	0	0.129856	0	0.038705	0.009581	0.005943	0.026713	0.016834	2.826781
gene-LOC142972745	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142972746	0.041963	0.157367	0.671607	0	0	0	0.861996	0	2.050492	0	0.312689	0.515046	38.333194
gene-LOC142972747	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC142972748	0.008841	0	0	0.044388	0	0.692287	0	0	0.037491	0	0	0.022517	0.314843
gene-LOC142972749	0	0	0	0	0	0	0.089116	0	0	0	0	0	0.019108
gene-LOC142972751	0.030256	0	0.188351	0.03596	0.126705	0	0	0	0	0	0.089767	0.048644	7.62657
gene-LOC142972752	0	0	0	0	0	0.663174	0	0	0	0	0	0	0
gene-LOC142972753	2.613152	0.785892	0.794399	2.630175	0.398433	1.172456	1.616706	1.061139	1.437792	3.339239	1.831546	2.458258	0.705664
