gene_id,gene_symbol,event_type,FDR,IncLevelDifference
gene-trc,trc,A3SS,0.00069321105621885,0.145
gene-ERR,ERR,A3SS,0.0026954790517550132,0.279
gene-exd,exd,A3SS,0.0004717638506923457,-0.373
gene-Loqs,Loqs,A3SS,0.008903682973250001,0.156
gene-LOC142975011,LOC142975011,A3SS,0.0006198418265432545,0.23
gene-how,how,A3SS,0.00012722894600398666,0.376
gene-capt,capt,A3SS,0.010374953000195333,-0.156
gene-cry2,cry2,A3SS,0.037909234028705,-0.194
gene-foxo,foxo,A3SS,9.025325227003801e-05,0.177
gene-Lpin,Lpin,A3SS,0.00012722894600398666,-0.373
gene-ida,ida,A3SS,0.035245551761285805,-0.452
gene-MetRS,MetRS,A3SS,0.00012722894600398666,-0.589
gene-LOC142977102,LOC142977102,A3SS,0.013965031748969365,0.153
gene-Pdzd8,Pdzd8,A3SS,0.00012722894600398666,-0.132
gene-Pcmt,Pcmt,A3SS,0.042484963075525455,-0.193
gene-LOC142980661,LOC142980661,A3SS,0.0004943024993425025,-0.341
gene-LOC142980695,LOC142980695,A3SS,4.40435144843798e-06,-0.585
gene-per,per,MXE,0.018074258126417646,0.179
gene-LOC142974737,LOC142974737,MXE,0.020713821989421666,-0.101
gene-LOC142974002,LOC142974002,MXE,0.0012801678104255,-0.1
gene-LOC142974364,LOC142974364,MXE,3.7514553847905e-06,-0.201
gene-LOC142979854,LOC142979854,MXE,0.014808127411205454,0.378
gene-LOC142982732,LOC142982732,MXE,0.026366756901557365,0.157
gene-LOC142972894,LOC142972894,MXE,3.7514553847905e-06,-0.402
gene-LOC142972894,LOC142972894,MXE,0.013994986108486875,0.433
gene-LOC142972894,LOC142972894,MXE,1.073903561822175e-05,0.542
gene-Actn,Actn,MXE,3.855972041673e-09,0.491
gene-LOC142987113,LOC142987113,MXE,9.1107607670992e-06,0.183
gene-LOC142972593,LOC142972593,MXE,0.005434811197741,-0.461
gene-Pfk,Pfk,MXE,0.0026366291524237777,-0.18
gene-LOC142972551,LOC142972551,MXE,0.00023568167779644002,0.16
gene-Tm1,Tm1,MXE,0.0,0.499
gene-Tm1,Tm1,MXE,0.0,0.592
gene-Tm1,Tm1,MXE,0.0,-0.449
gene-LOC142976829,LOC142976829,MXE,0.00197586478493424,-0.125
gene-AnxB10,AnxB10,MXE,0.04204632418746818,0.259
gene-LOC142977695,LOC142977695,MXE,0.0026366291524237777,-0.156
gene-LOC142979846,LOC142979846,MXE,0.0001949755258038947,-0.219
gene-LOC142979846,LOC142979846,MXE,0.0,0.123
gene-Gdap1,Gdap1,MXE,3.855972041673e-09,0.181
gene-Rim,Rim,MXE,0.04839153150749217,-0.164
gene-LOC142983263,LOC142983263,RI,9.60084279389e-05,-0.228
gene-wdb,wdb,RI,0.00174750381588125,-0.106
gene-Syx17,Syx17,RI,9.60084279389e-05,-0.256
gene-SAK,SAK,RI,2.5206543089000002e-05,0.435
gene-Xe7,Xe7,RI,0.0015769086701,0.122
gene-Mnr,Mnr,RI,9.60084279389e-05,-0.472
gene-LOC142974325,LOC142974325,RI,0.010145936050291666,-0.316
gene-Rnb,Rnb,RI,0.00254807233417,0.167
gene-Tra2,Tra2,RI,0.0060867679077272726,-0.281
