gene_id,gene_symbol,event_type,probability_changing,dpsi_mean
gene-Tm1,Tm1,s,1.0,0.5093
gene-Tm1,Tm1,s,1.0,-0.5093
gene-Tm1,Tm1,t,1.0,-0.4879
gene-Tm1,Tm1,t,1.0,0.3384
gene-LOC142979058,LOC142979058,s,1.0,0.442
gene-LOC142979058,LOC142979058,s,1.0,-0.442
gene-LOC142979058,LOC142979058,t,1.0,-0.7774
gene-LOC142979058,LOC142979058,t,1.0,0.7249
gene-LOC142979080,LOC142979080,t,0.9584,-0.2999
gene-LOC142979080,LOC142979080,t,0.9584,0.2999
gene-fl(2)d,fl(2)d,t,0.9679,0.3237
gene-fl(2)d,fl(2)d,s,0.9921,-0.3445
gene-fl(2)d,fl(2)d,s,0.9921,0.3445
gene-LOC142979612,LOC142979612,t,1.0,0.4556
gene-LOC142979612,LOC142979612,t,1.0,-0.4556
gene-LOC142979648,LOC142979648,s,0.9516,0.2459
gene-Vps11,Vps11,t,1.0,0.7946
gene-Vps11,Vps11,t,1.0,-0.5659
gene-Bsg,Bsg,s,0.9819,-0.368
gene-Bsg,Bsg,s,0.9819,0.368
gene-LOC142980208,LOC142980208,t,0.9977,0.4899
gene-LOC142979692,LOC142979692,t,0.9985,0.4056
gene-LOC142979692,LOC142979692,t,0.9947,-0.3966
gene-LOC142979846,LOC142979846,s,1.0,0.3752
gene-LOC142979846,LOC142979846,s,1.0,-0.3779
gene-LOC142979846,LOC142979846,t,0.9435,0.2456
gene-LOC142979787,LOC142979787,t,0.9149,-0.2799
gene-LOC142979787,LOC142979787,t,0.9149,0.2799
gene-Ufm1,Ufm1,s,0.9376,0.2923
gene-Ufm1,Ufm1,s,0.9376,-0.2923
gene-mesh,mesh,t,1.0,0.6765
gene-mesh,mesh,t,1.0,-0.6114
gene-LOC142980471,LOC142980471,t,1.0,0.4351
gene-LOC142980471,LOC142980471,t,1.0,-0.4345
gene-LOC142980695,LOC142980695,s,1.0,0.7434
gene-LOC142980695,LOC142980695,s,1.0,-0.7434
gene-LOC142980965,LOC142980965,t,0.9148,-0.3887
gene-LOC142980965,LOC142980965,t,0.9946,0.4347
gene-KrT95D,KrT95D,t,1.0,0.707
gene-KrT95D,KrT95D,t,1.0,-0.7091
