gene_id,gene_symbol,event_type,probability_changing,dpsi_mean
gene-LOC142979692,LOC142979692,t,0.9998,0.4194
gene-LOC142979692,LOC142979692,t,0.9967,-0.3957
gene-Dg,Dg,s,1.0,-0.8359
gene-Dg,Dg,s,1.0,0.8359
gene-mesh,mesh,t,1.0,0.6774
gene-mesh,mesh,t,1.0,-0.7729
gene-LOC142980480,LOC142980480,t,1.0,-0.3909
gene-LOC142980480,LOC142980480,t,1.0,0.3909
gene-LOC142980471,LOC142980471,t,1.0,0.7167
gene-LOC142980471,LOC142980471,t,1.0,-0.7153
gene-LOC142980956,LOC142980956,s,0.9592,0.3822
gene-LOC142980956,LOC142980956,s,0.9592,-0.3822
gene-KrT95D,KrT95D,t,1.0,0.6496
gene-KrT95D,KrT95D,t,1.0,-0.6505
gene-car,car,t,0.9805,0.2856
gene-car,car,t,0.9805,-0.2856
gene-Flo2,Flo2,t,0.9361,0.319
gene-Flo2,Flo2,t,0.9322,-0.3168
gene-LOC142981926,LOC142981926,t,1.0,0.5911
gene-LOC142981926,LOC142981926,t,1.0,-0.4627
gene-LOC142981926,LOC142981926,t,0.9243,0.2418
gene-LOC142981926,LOC142981926,t,1.0,-0.4258
gene-LOC142981648,LOC142981648,s,1.0,0.4913
gene-LOC142981648,LOC142981648,s,1.0,-0.4913
gene-LOC142981648,LOC142981648,t,1.0,-0.7033
gene-LOC142981648,LOC142981648,t,1.0,0.7033
gene-LOC142982425,LOC142982425,s,0.9415,0.2814
gene-UGP,UGP,t,1.0,0.6887
gene-UGP,UGP,t,0.9994,-0.508
gene-LOC142982932,LOC142982932,s,1.0,-0.5752
gene-LOC142982932,LOC142982932,s,1.0,0.5752
gene-MrgBP,MrgBP,s,1.0,-0.5834
gene-MrgBP,MrgBP,s,1.0,0.5834
gene-MrgBP,MrgBP,t,0.9997,0.5558
gene-MrgBP,MrgBP,t,0.9997,-0.5558
gene-shot,shot,t,0.9723,0.4259
gene-shot,shot,t,0.9723,-0.4259
gene-LOC142983221,LOC142983221,s,1.0,-0.6039
gene-LOC142983221,LOC142983221,s,1.0,0.6039
gene-LOC142983470,LOC142983470,t,1.0,0.4913
gene-LOC142983470,LOC142983470,t,1.0,-0.5975
gene-LOC142983900,LOC142983900,t,0.9993,0.4561
gene-LOC142983825,LOC142983825,t,1.0,0.8365
gene-LOC142983825,LOC142983825,t,1.0,-0.8306
gene-maf-S,maf-S,t,1.0,0.4909
gene-maf-S,maf-S,t,1.0,-0.4909
gene-Start1,Start1,t,1.0,0.6535
gene-Start1,Start1,t,1.0,-0.6535
gene-CycG,CycG,t,0.969,0.3342
gene-CycG,CycG,t,0.969,-0.3342
gene-BNIP3,BNIP3,t,0.9998,-0.4674
gene-BNIP3,BNIP3,t,0.9998,0.4674
gene-trio,trio,t,0.9999,0.4248
gene-LOC142986242,LOC142986242,t,1.0,0.3935
gene-LOC142986242,LOC142986242,s,0.9646,0.2589
gene-LOC142986242,LOC142986242,s,0.9754,-0.2638
gene-LOC142986232,LOC142986232,s,0.9999,0.461
gene-LOC142986232,LOC142986232,s,0.9999,-0.461
