gene_id,gene_symbol,event_type,FDR,IncLevelDifference
gene-LOC142986517,LOC142986517,A5SS,3.4365880576298884e-05,0.185
gene-LOC142980134,LOC142980134,A5SS,0.019630094788689646,0.25
gene-SC35,SC35,A3SS,0.00637798278747669,-0.188
gene-LOC142979737,LOC142979737,A3SS,0.0075332417443114376,-0.135
gene-Top1,Top1,A3SS,0.0021369376067250905,0.287
gene-aralar1,aralar1,A3SS,0.0038138531127566923,-0.137
gene-exd,exd,A3SS,0.0068428370984805805,-0.148
gene-LOC142975011,LOC142975011,A3SS,0.0021369376067250905,0.133
gene-LOC142975011,LOC142975011,A3SS,0.000140199275460486,0.24
gene-LOC142973651,LOC142973651,A3SS,0.006534133292796066,0.195
gene-how,how,A3SS,4.977504628726e-05,0.376
gene-Srrm234,Srrm234,A3SS,0.01084397879736739,0.31
gene-Hip1,Hip1,A3SS,0.010700201070074057,0.105
gene-LOC142981092,LOC142981092,A3SS,0.02221556017450146,0.31
gene-cry2,cry2,A3SS,0.0006402549107287571,-0.353
gene-Ars2,Ars2,A3SS,0.023369879050145714,-0.362
gene-LOC142972810,LOC142972810,A3SS,0.0002635630669742582,-0.13
gene-ABCB7,ABCB7,A3SS,0.03831707666345348,-0.106
gene-Hakai,Hakai,A3SS,1.14680365718595e-05,0.667
gene-Lst8,Lst8,A3SS,0.0038138531127566923,0.272
gene-SCCRO4,SCCRO4,A3SS,9.911838137540666e-05,-0.194
gene-LOC142976781,LOC142976781,A3SS,0.0,1.0
gene-TORIP,TORIP,A3SS,3.0435066880028662e-06,-0.112
gene-mlt,mlt,A3SS,0.009148226319685758,0.337
gene-Pat1,Pat1,A3SS,0.003520731958674167,0.22
gene-LOC142978438,LOC142978438,A3SS,0.0011437551240988588,0.378
gene-Pdzd8,Pdzd8,A3SS,0.04882001780776599,0.163
gene-LOC142973709,LOC142973709,A3SS,0.00070729974622475,-0.301
gene-LOC142979015,LOC142979015,A3SS,3.945491317975067e-05,-0.303
gene-LOC142979015,LOC142979015,A3SS,0.0021369376067250905,0.103
gene-muc,muc,A3SS,0.0387919065193125,0.333
gene-Abi,Abi,A3SS,3.945491317975067e-05,0.13
gene-NUCB1,NUCB1,MXE,0.013612497897902188,-0.216
gene-maf-S,maf-S,MXE,2.7326223078879226e-06,0.428
gene-LOC142983967,LOC142983967,MXE,8.700571695790999e-05,-0.285
gene-LOC142974967,LOC142974967,MXE,5.404981108116445e-07,0.398
gene-LOC142974631,LOC142974631,MXE,1.8037702410051916e-06,0.501
gene-LOC142974299,LOC142974299,MXE,0.041123894739850814,-0.128
gene-LOC142974966,LOC142974966,MXE,0.00015112233507031438,-0.151
gene-LOC142979854,LOC142979854,MXE,9.689534036225501e-09,-0.152
gene-LOC142978728,LOC142978728,MXE,0.014695550397877576,-0.231
gene-LOC142972894,LOC142972894,MXE,0.0015262175945172,0.546
gene-LOC142987113,LOC142987113,MXE,0.0018910207549422858,0.181
